node_id,level_1_code,level_1_name,level_2_code,level_2_name,level_3_code,level_3_name,remark,source_pdf_page,source_anomaly
db44t2479-2024:0101:010101,01,科教文体,0101,科技事务,010101,科技服务,科技服务（以技术和知识向社会提供服务）、高新技术企业/科技型中小企业/技术先进型服务企业评价认定等政策咨询、办事流程咨询、业务查询等方面的诉求,8,
db44t2479-2024:0101:010102,01,科教文体,0101,科技事务,010102,科研工作,对科研工作的诉求,8,
db44t2479-2024:0101:010103,01,科教文体,0101,科技事务,010103,信息技术,信息技术（用于管理和处理信息的各种技术）相关诉求,8,
db44t2479-2024:0101:010199,01,科教文体,0101,科技事务,010199,其他科技事务,未列入上述内容的其他科技事务相关诉求,8,
db44t2479-2024:0102:010201,01,科教文体,0102,教育管理,010201,教育行政管理,教育工作者、校外培训机构、校内行政管理等相关诉求,8,
db44t2479-2024:0102:010202,01,科教文体,0102,教育管理,010202,师资,校内教育、校外培训机构师资问题等相关诉求,8,
db44t2479-2024:0102:010203,01,科教文体,0102,教育管理,010203,招生考试,对校内教育、校外培训机构招生信息咨询、违规招生投诉、学籍管理、考试等方面的诉求,8,
db44t2479-2024:0102:010204,01,科教文体,0102,教育管理,010204,学校建设,学校开办、建设发展等方面的诉求,8,
db44t2479-2024:0102:010299,01,科教文体,0102,教育管理,010299,其他教育管理,未列入上述内容的其他教育管理相关诉求,8,
db44t2479-2024:0103:010301,01,科教文体,0103,文化管理,010301,公共文化设施,对图书馆、文化馆、博物馆、美术馆、非遗馆、科技馆、展览馆、纪念馆、少年宫等公共文化设施的诉求,8,
db44t2479-2024:0103:010302,01,科教文体,0103,文化管理,010302,公益性流动文化服务,对电影免费放映、文艺演出、展览、图书销售等公益性流动文化服务的诉求,8,
db44t2479-2024:0103:010303,01,科教文体,0103,文化管理,010303,数字文化服务,对数字文化服务（文化资源通过互联网技术进行生产、消费的过程）的相关诉求,8,
db44t2479-2024:0103:010304,01,科教文体,0103,文化管理,010304,文物保护,文物建筑服务、文物保护相关诉求,8,
db44t2479-2024:0103:010399,01,科教文体,0103,文化管理,010399,其他文化管理,未列入上述内容的其他文化管理相关诉求,8,
db44t2479-2024:0104:010401,01,科教文体,0104,体育管理,010401,体育竞技,体育竞技竞赛的相关诉求,8,
db44t2479-2024:0104:010402,01,科教文体,0104,体育管理,010402,体育事业,人员管理、发展规划、活动管理等方面的相关诉求,8,
db44t2479-2024:0104:010403,01,科教文体,0104,体育管理,010403,体育市场,体育市场管理相关诉求,8,
db44t2479-2024:0104:010404,01,科教文体,0104,体育管理,010404,全民健身,全民健身服务、活动相关诉求,8,
db44t2479-2024:0104:010405,01,科教文体,0104,体育管理,010405,体育场馆,公共体育场馆管理、服务、使用相关诉求,8,
db44t2479-2024:0104:010499,01,科教文体,0104,体育管理,010499,其他体育管理,未列入上述内容的其他体育管理相关诉求,8,
db44t2479-2024:0105:010501,01,科教文体,0105,广播电视,010501,广播服务,广播服务相关诉求,8,
db44t2479-2024:0105:010502,01,科教文体,0105,广播电视,010502,电视服务,电视服务相关诉求,8,
db44t2479-2024:0105:010503,01,科教文体,0105,广播电视,010503,电影服务,电影服务相关诉求,9,
db44t2479-2024:0105:010599,01,科教文体,0105,广播电视,010599,其他广播电视,未列入上述内容的其他广播电视相关诉求,9,
db44t2479-2024:0106:010600,01,科教文体,0106,新闻出版,010600,,新闻出版业生产、经营、管理相关诉求,9,
db44t2479-2024:0107:010701,01,科教文体,0107,社会教育,010701,艺能培训,艺能培训相关诉求,9,
db44t2479-2024:0107:010702,01,科教文体,0107,社会教育,010702,老年大学,老年大学相关诉求,9,
db44t2479-2024:0107:010703,01,科教文体,0107,社会教育,010703,继续教育,信息咨询、业务办理咨询、管理投诉等诉求,9,
db44t2479-2024:0107:010799,01,科教文体,0107,社会教育,010799,其他社会教育,未列入上述内容的其他社会教育相关诉求,9,
